Company Name, Fund 
FIRSTGROUP,Aberforth UK Small Companies Accumulation Fund Analysis
REDDE NORTHGATE,Aberforth UK Small Companies Accumulation Fund Analysis
R P S GROUP,Aberforth UK Small Companies Accumulation Fund Analysis
MORGAN ADVANCED MATERIALS,Aberforth UK Small Companies Accumulation Fund Analysis
WINCANTON,Aberforth UK Small Companies Accumulation Fund Analysis
RATHBONES GROUP,Aberforth UK Small Companies Accumulation Fund Analysis
CENTAMIN,Aberforth UK Small Companies Accumulation Fund Analysis
ROBERT WALTERS,Aberforth UK Small Companies Accumulation Fund Analysis
WILMINGTON,Aberforth UK Small Companies Accumulation Fund Analysis
VIDENDUM,Aberforth UK Small Companies Accumulation Fund Analysis
ALPHA FINL MKTS CONSULTING,abrdn (AAM) UK Smaller Companies (Class I) Accumulation Fund Analysis
TELECOM PLUS,abrdn (AAM) UK Smaller Companies (Class I) Accumulation Fund Analysis
KAINOS GROUP,abrdn (AAM) UK Smaller Companies (Class I) Accumulation Fund Analysis
DISCOVERIE GROUP,abrdn (AAM) UK Smaller Companies (Class I) Accumulation Fund Analysis
4IMPRINT GROUP,abrdn (AAM) UK Smaller Companies (Class I) Accumulation Fund Analysis
JTC,abrdn (AAM) UK Smaller Companies (Class I) Accumulation Fund Analysis
MORTGAGE ADVICE BUREAU (HLDGS),abrdn (AAM) UK Smaller Companies (Class I) Accumulation Fund Analysis
BYTES TECHNOLOGY GROUP,abrdn (AAM) UK Smaller Companies (Class I) Accumulation Fund Analysis
GAMMA COMMUNICATIONS,abrdn (AAM) UK Smaller Companies (Class I) Accumulation Fund Analysis
SOMERO ENTERPRISE INC,abrdn (AAM) UK Smaller Companies (Class I) Accumulation Fund Analysis
KAINOS GROUP,abrdn UK Smaller Companies Accumulation Fund Analysis
TELECOM PLUS,abrdn UK Smaller Companies Accumulation Fund Analysis
HILTON FOOD GROUP,abrdn UK Smaller Companies Accumulation Fund Analysis
DISCOVERIE GROUP,abrdn UK Smaller Companies Accumulation Fund Analysis
SAFESTORE HLDGS,abrdn UK Smaller Companies Accumulation Fund Analysis
JTC,abrdn UK Smaller Companies Accumulation Fund Analysis
BYTES TECHNOLOGY GROUP,abrdn UK Smaller Companies Accumulation Fund Analysis
4IMPRINT GROUP,abrdn UK Smaller Companies Accumulation Fund Analysis
ERGOMED,abrdn UK Smaller Companies Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,abrdn UK Smaller Companies Accumulation Fund Analysis
GB GROUP,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
ALPHA FX GROUP,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
TATTON ASSET MGMT,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
MARLOWE,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
JTC,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
GAMMA COMMUNICATIONS,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
BYTES TECHNOLOGY GROUP,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
ASHTEAD TECHNOLOGY HOLDINGS,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
4IMPRINT GROUP,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
R P S GROUP,Artemis UK Smaller Companies (Class I) Accumulation Fund Analysis
NCC GROUP,Artemis UK Smaller Companies (Class I) Accumulation Fund Analysis
MEARS GROUP,Artemis UK Smaller Companies (Class I) Accumulation Fund Analysis
WILMINGTON,Artemis UK Smaller Companies (Class I) Accumulation Fund Analysis
SERCO GROUP,Artemis UK Smaller Companies (Class I) Accumulation Fund Analysis
MONEYSUPERMARKET.COM GROUP,Artemis UK Smaller Companies (Class I) Accumulation Fund Analysis
H & T GROUP,Artemis UK Smaller Companies (Class I) Accumulation Fund Analysis
RWS HOLDINGS,Artemis UK Smaller Companies (Class I) Accumulation Fund Analysis
GB GROUP,Artemis UK Smaller Companies (Class I) Accumulation Fund Analysis
EMIS GROUP,Artemis UK Smaller Companies (Class I) Accumulation Fund Analysis
CERILLION,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
TRACSIS,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
CVS GROUP,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
HOLLYWOOD BOWL GROUP,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
ACCESSO TECHNOLOGY GRP,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
ALPHA FX GROUP,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
JTC,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
APTITUDE SOFTWARE GROUP,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
ROBERT WALTERS,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
DISCOVERIE GROUP,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
4IMPRINT GROUP,Baillie Gifford British Smallr Companies (Class B) Income Fund Analysis
ALPHA FX GROUP,Baillie Gifford British Smallr Companies (Class B) Income Fund Analysis
YOUGOV,Baillie Gifford British Smallr Companies (Class B) Income Fund Analysis
BURFORD CAPITAL LTD,Baillie Gifford British Smallr Companies (Class B) Income Fund Analysis
DOTDIGITAL GROUP,Baillie Gifford British Smallr Companies (Class B) Income Fund Analysis
JUDGES SCIENTIFIC,Baillie Gifford British Smallr Companies (Class B) Income Fund Analysis
KAINOS GROUP,Baillie Gifford British Smallr Companies (Class B) Income Fund Analysis
VICTORIA,Baillie Gifford British Smallr Companies (Class B) Income Fund Analysis
TEAM17 GROUP,Baillie Gifford British Smallr Companies (Class B) Income Fund Analysis
TRUSTPILOT GROUP,Baillie Gifford British Smallr Companies (Class B) Income Fund Analysis
BlackRock Institutional Cash Series ICS US Dollar Liquid Environmentally Aware Agency,BlackRock Growth & Recovery Accumulation Fund Analysis
4IMPRINT GROUP,BlackRock Growth & Recovery Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,BlackRock Growth & Recovery Accumulation Fund Analysis
CVS GROUP,BlackRock Growth & Recovery Accumulation Fund Analysis
GAMMA COMMUNICATIONS,BlackRock Growth & Recovery Accumulation Fund Analysis
