Company Name, Fund 
NO,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
ROBERT WALTERS,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
GB GROUP,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
HOTEL CHOCOLAT GROUP,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
S4 CAPITAL,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
ALPHA FX GROUP,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
WETHERSPOON(J.D.),Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
FDM GROUP,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
BREWIN DOLPHIN HLDGS,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
KAINOS GROUP,ASI UK Smaller Companies Accumulation Fund Analysis
FUTURE,ASI UK Smaller Companies Accumulation Fund Analysis
GAMMA COMMUNICATIONS,ASI UK Smaller Companies Accumulation Fund Analysis
XP POWER LTD,ASI UK Smaller Companies Accumulation Fund Analysis
BYTES TECHNOLOGY GROUP,ASI UK Smaller Companies Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,ASI UK Smaller Companies Accumulation Fund Analysis
IMPAX ASSET MANAGEMENT GROUP,ASI UK Smaller Companies Accumulation Fund Analysis
LIONTRUST ASSET MANAGEMENT,ASI UK Smaller Companies Accumulation Fund Analysis
HILTON FOOD GROUP,ASI UK Smaller Companies Accumulation Fund Analysis
DISCOVERIE GROUP,ASI UK Smaller Companies Accumulation Fund Analysis
GEAR 4 MUSIC (HLDGS) LTD,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
APTITUDE SOFTWARE GROUP,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
SERICA ENERGY,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
VOLUTION GROUP,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
CVS GROUP,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
ROBERT WALTERS,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
INSPECS GROUP,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
EKF DIAGNOSTICS HOLDINGS,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
CERILLION,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
ALPHA FX GROUP,AXA Framlington UK Smaller Companies (Class Z) Accumulation Fund Analysis
YOUGOV,Baillie Gifford British Smaller Companies (Class B Accumulation Fund Analysis
GENUS,Baillie Gifford British Smaller Companies (Class B Accumulation Fund Analysis
KAINOS GROUP,Baillie Gifford British Smaller Companies (Class B Accumulation Fund Analysis
VICTORIA,Baillie Gifford British Smaller Companies (Class B Accumulation Fund Analysis
ALPHA FX GROUP,Baillie Gifford British Smaller Companies (Class B Accumulation Fund Analysis
DOTDIGITAL GROUP,Baillie Gifford British Smaller Companies (Class B Accumulation Fund Analysis
4IMPRINT GROUP,Baillie Gifford British Smaller Companies (Class B Accumulation Fund Analysis
FEVERTREE DRINKS,Baillie Gifford British Smaller Companies (Class B Accumulation Fund Analysis
BURFORD CAPITAL LTD,Baillie Gifford British Smaller Companies (Class B Accumulation Fund Analysis
ABCAM,Baillie Gifford British Smaller Companies (Class B Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
IMPAX ASSET MANAGEMENT GROUP,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
TREATT,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
CVS GROUP,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
AUCTION TECHNOLOGY GROUP,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
INTEGRAFIN HOLDINGS,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
ROBERT WALTERS,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
OXFORD INSTRUMENTS,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
YOUGOV,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
BREEDON GROUP,BlackRock UK Smaller Companies (Class D) Accumulation Fund Analysis
NEXT FIFTEEN COMMUNICATIONS GROUP,BMO UK Smaller Companies (Class 2) Accumulation Fund Analysis
TREATT,BMO UK Smaller Companies (Class 2) Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,BMO UK Smaller Companies (Class 2) Accumulation Fund Analysis
SIRIUS REAL ESTATE LTD,BMO UK Smaller Companies (Class 2) Accumulation Fund Analysis
BIFFA,BMO UK Smaller Companies (Class 2) Accumulation Fund Analysis
CLIPPER LOGISTICS,BMO UK Smaller Companies (Class 2) Accumulation Fund Analysis
SANNE GROUP,BMO UK Smaller Companies (Class 2) Accumulation Fund Analysis
BREWIN DOLPHIN HLDGS,BMO UK Smaller Companies (Class 2) Accumulation Fund Analysis
OSB GROUP,BMO UK Smaller Companies (Class 2) Accumulation Fund Analysis
TEAM17 GROUP,BMO UK Smaller Companies (Class 2) Accumulation Fund Analysis
ALUMASC GROUP,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
INSPIRATION HEALTHCARE GROUP,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
Gresham House Gresham House Plc Ord GBP0.25,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
TRACSIS,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
GYM GROUP,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
EKF DIAGNOSTICS HOLDINGS,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
MARLOWE,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
CML MICROSYSTEMS,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
ANIMALCARE GROUP,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
MACFARLANE GROUP,Castlefield B.E.S.T Sustainable UK Smaller Comps Income Fund Analysis
DIVERSIFIED ENERGY CO,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
SMART METERING SYSTEMS,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
Supermarket Income REIT Plc Supermarket Income REIT Plc ORD GBP0.01,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
ALPHA FX GROUP,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
BIFFA,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
MAXCYTE INC,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
STRIX GROUP,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
JTC,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
VOLUTION GROUP,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
EMIS GROUP,ES River & Mercantile UK Eq Smaller Cos (Class B) Accumulation Fund Analysis
NEXT FIFTEEN COMMUNICATIONS GROUP,FP Octopus UK Micro Cap Growth (P) Accumulation Fund Analysis
BRICKABILITY GROUP,FP Octopus UK Micro Cap Growth (P) Accumulation Fund Analysis
LEARNING TECHNOLOGIES GROUP,FP Octopus UK Micro Cap Growth (P) Accumulation Fund Analysis
KISTOS,FP Octopus UK Micro Cap Growth (P) Accumulation Fund Analysis
RENEW HLDGS,FP Octopus UK Micro Cap Growth (P) Accumulation Fund Analysis
MATTIOLI WOODS,FP Octopus UK Micro Cap Growth (P) Accumulation Fund Analysis
FUTURE,FP Octopus UK Micro Cap Growth (P) Accumulation Fund Analysis
ANIMALCARE GROUP,FP Octopus UK Micro Cap Growth (P) Accumulation Fund Analysis
SURESERVE GROUP,FP Octopus UK Micro Cap Growth (P) Accumulation Fund Analysis
RWS HLDGS,FP Octopus UK Micro Cap Growth (P) Accumulation Fund Analysis
JTC,FTF Franklin UK Smaller Companies (W) Accumulation Fund Analysis
VOLUTION GROUP,FTF Franklin UK Smaller Companies (W) Accumulation Fund Analysis
DISCOVERIE GROUP,FTF Franklin UK Smaller Companies (W) Accumulation Fund Analysis
RESTORE,FTF Franklin UK Smaller Companies (W) Accumulation Fund Analysis
VITEC GROUP PLC (THE),FTF Franklin UK Smaller Companies (W) Accumulation Fund Analysis
DFS FURNITURE,FTF Franklin UK Smaller Companies (W) Accumulation Fund Analysis
ALPHA FX GROUP,FTF Franklin UK Smaller Companies (W) Accumulation Fund Analysis
WATKIN JONES,FTF Franklin UK Smaller Companies (W) Accumulation Fund Analysis
NCC GROUP,FTF Franklin UK Smaller Companies (W) Accumulation Fund Analysis
DOTDIGITAL GROUP,FTF Franklin UK Smaller Companies (W) Accumulation Fund Analysis
JTC,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
HILL & SMITH HLDGS,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
SANNE GROUP,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
ADVANCED MEDICAL SOLUTIONS GROUP,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
HILTON FOOD GROUP,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
RWS HLDGS,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
